Blocksize,RelSize
100,0.844308
200,0.796875
300,0.753395
400,0.741118
500,0.723819
600,0.704009
700,0.703823
800,0.698056
900,0.68564
1000,0.687314
1100,0.687453
1200,0.671177
1300,0.667643
1400,0.66569
1500,0.665039
1600,0.662342
1700,0.664574
1800,0.656576
1900,0.661272
2000,0.654622
2100,0.655459
2200,0.658017
2300,0.654204
2400,0.650019
2500,0.646112
2600,0.644485
2700,0.644764
2800,0.646205
2900,0.641462
3000,0.641834
3100,0.643369
3200,0.638765
3300,0.640811
3400,0.637974
3500,0.637742
3600,0.63644
3700,0.640439
3800,0.641044
3900,0.636672
4000,0.636114
4100,0.633092
4200,0.631789
4300,0.632859
4400,0.634022
4500,0.631603
4600,0.63644
4700,0.63816
4800,0.633743
4900,0.634626
5000,0.63058
5100,0.631231
5200,0.628302
5300,0.626767
5400,0.626442
5500,0.628488
5600,0.628674
5700,0.627372
5800,0.624628
5900,0.62607
6000,0.625
6100,0.623651
6200,0.627232
6300,0.62607
6400,0.624767
6500,0.625233
6600,0.626953
6700,0.623512
6800,0.624349
6900,0.625093
7000,0.624488
7100,0.62393
7200,0.62393
7300,0.623698
7400,0.624395
7500,0.625465
7600,0.627139
7700,0.623837
7800,0.623047
7900,0.623419
8000,0.624256
8100,0.624256
8200,0.622628
8300,0.622861
8400,0.622628
8500,0.622442
8600,0.621605
8700,0.621466
8800,0.622861
8900,0.623186
9000,0.622675
9100,0.623512
9200,0.623279
9300,0.624302
9400,0.625651
9500,0.62207
9600,0.620768
9700,0.621047
9800,0.620117
9900,0.619466
10000,0.617188
10100,0.61928
10200,0.61835
10300,0.61849
10400,0.617467
10500,0.617699
10600,0.617188
10700,0.616164
10800,0.615467
10900,0.61649
11000,0.61742
11100,0.617048
11200,0.617932
11300,0.617792
11400,0.61649
11500,0.616676
11600,0.616211
11700,0.615978
11800,0.616257
11900,0.615746
12000,0.615048
12100,0.615467
12200,0.615188
12300,0.61542
12400,0.61542
12500,0.614816
12600,0.614165
12700,0.612816
12800,0.615234
12900,0.61556
13000,0.615234
13100,0.615141
13200,0.616118
13300,0.613793
13400,0.615327
13500,0.614165
13600,0.616769
13700,0.617281
13800,0.616908
13900,0.615839
14000,0.616118
14100,0.615978
14200,0.616071
14300,0.616257
14400,0.616257
14500,0.616164
14600,0.614909
14700,0.616304
14800,0.615699
14900,0.616955
15000,0.615653
15100,0.616676
15200,0.617885
15300,0.616676
15400,0.615513
15500,0.615327
15600,0.615467
15700,0.615234
15800,0.615513
15900,0.614769
16000,0.615095
16100,0.615513
16200,0.615513
16300,0.614955
16400,0.614676
16500,0.615467
16600,0.614955
16700,0.615048
16800,0.615141
16900,0.614676
17000,0.614258
17100,0.613746
17200,0.613281
17300,0.613095
17400,0.613142
17500,0.613607
17600,0.613839
17700,0.614444
17800,0.614211
17900,0.615141
18000,0.615234
18100,0.616211
18200,0.616071
18300,0.613886
18400,0.61556
18500,0.617094
18600,0.617094
18700,0.617885
18800,0.618211
18900,0.617234
19000,0.61542
19100,0.614583
19200,0.614769
19300,0.614955
19400,0.614769
19500,0.615327
19600,0.614816
19700,0.614862
19800,0.614444
19900,0.614165
20000,0.612956
20100,0.613142
20200,0.612863
20300,0.61263
20400,0.612537
20500,0.612584
20600,0.612491
20700,0.612398
20800,0.612398
20900,0.612398
21000,0.612398
21100,0.612491
21200,0.612398
21300,0.612491
21400,0.612351
21500,0.612491
