Blocksize,RelSize
100,1.01194
200,0.989613
300,0.966972
400,0.951723
500,0.93835
600,0.921765
700,0.911059
800,0.902323
900,0.894512
1000,0.887519
1100,0.873822
1200,0.868936
1300,0.861775
1400,0.856147
1500,0.851758
1600,0.847365
1700,0.842234
1800,0.838247
1900,0.834736
2000,0.830998
2100,0.820291
2200,0.816655
2300,0.812982
2400,0.811112
2500,0.808087
2600,0.804164
2700,0.801936
2800,0.799819
2900,0.798108
3000,0.79598
3100,0.794136
3200,0.792643
3300,0.790212
3400,0.789024
3500,0.787327
3600,0.786234
3700,0.784135
3800,0.78346
3900,0.781514
4000,0.780613
4100,0.773137
4200,0.77221
4300,0.771252
4400,0.769437
4500,0.768131
4600,0.767271
4700,0.766399
4800,0.765392
4900,0.764147
5000,0.763686
5100,0.761915
5200,0.761058
5300,0.760104
5400,0.759683
5500,0.758174
5600,0.758063
5700,0.757073
5800,0.757222
5900,0.756202
6000,0.755313
6100,0.754277
6200,0.753136
6300,0.752816
6400,0.75245
6500,0.751332
6600,0.750534
6700,0.750109
6800,0.749647
6900,0.748795
7000,0.748584
7100,0.748091
7200,0.747001
7300,0.74686
7400,0.746011
7500,0.745693
7600,0.74473
7700,0.744383
7800,0.743674
7900,0.74303
8000,0.742844
8100,0.742309
8200,0.737317
8300,0.736673
8400,0.736547
8500,0.735982
8600,0.735404
8700,0.73471
8800,0.733762
8900,0.73371
9000,0.732254
9100,0.731767
9200,0.731733
9300,0.73186
9400,0.730601
9500,0.730285
9600,0.729978
9700,0.729459
9800,0.729399
9900,0.728524
10000,0.728338
10100,0.727641
10200,0.727642
10300,0.727112
10400,0.726864
10500,0.72625
10600,0.725362
10700,0.72595
10800,0.724983
10900,0.725018
11000,0.72331
11100,0.723738
11200,0.723815
11300,0.723548
11400,0.72285
11500,0.722375
11600,0.72266
11700,0.722118
11800,0.721308
11900,0.720914
12000,0.721169
12100,0.720347
12200,0.719637
12300,0.720116
12400,0.718742
12500,0.719175
12600,0.718544
12700,0.718067
12800,0.718843
12900,0.71804
13000,0.716877
13100,0.716718
13200,0.716983
13300,0.716373
13400,0.716144
13500,0.715562
13600,0.716022
13700,0.715296
13800,0.715532
13900,0.714769
14000,0.713673
14100,0.714501
14200,0.714304
14300,0.71395
14400,0.713701
14500,0.71284
14600,0.712632
14700,0.712816
14800,0.712753
14900,0.712476
15000,0.712159
15100,0.711197
15200,0.710956
15300,0.711315
15400,0.710725
15500,0.71039
15600,0.709674
15700,0.70901
15800,0.709612
15900,0.709477
16000,0.709125
16100,0.708706
16200,0.709218
16300,0.708826
